Vendor,Intervall,Last_update,Next_update,Vendor_class,max_products
ABB,0,2022-12-07,2023-01-01,ABBScraper,
Asus,0,2022-12-07,2023-01-01,AsusScraper,
AVM,0,2022-12-07,2023-01-01,AVMScraper,
Belkin,0,2022-12-07,2023-01-01,BelkinScraper,
DDWRT,0,2022-12-07,2023-01-01,DDWRTScraper,
DLink,0,2022-12-07,2023-01-01,DLinkScraper,
Eugenius,0,2022-12-07,2023-01-01,EugeniusScraper,
Foscam,0,2022-12-07,2023-01-01,FoscamScraper,
Gigaset,0,2022-12-07,2023-01-01,GigasetScraper,
Honeywell,0,2022-12-07,2023-01-01,HoneywellScraper,
Linksys,0,2022-12-07,2023-01-01,LinksysScraper,
Netgear,0,2022-12-07,2023-01-01,NetgearScraper,
Qnap,0,2022-12-07,2023-01-01,QnapScraper,
Rockwell,0,2022-12-07,2023-01-01,RockwellScraper,
SchneiderElectric,0,2022-12-07,2023-01-01,SchneiderElectricScraper,
Swisscom,0,2022-12-07,2023-01-01,SwisscomScraper,
Synology,0,2022-12-07,2023-01-01,SynologyScraper,
TPLink,0,2022-12-07,2023-01-01,TPLinkScraper,
Trendnet,0,2022-12-07,2023-01-01,TrendnetScraper,
Zyxel,0,2022-12-07,2023-01-01,ZyxelScraper,
